,predictions,labels,generation
0,2,0,"[INST] <<SYS>>
Vous êtes un évaluateur linguistique utilisant le Cadre européen commun de référence pour les langues (CECRL). Votre mission est d'attribuer une note de compétence linguistique à ce texte, en utilisant les niveaux du CECRL, allant de A1 (débutant) à C2 (avancé/natif). Évaluez ce texte et attribuez-lui la note correspondante du CECRL.
<</SYS>>

  Je vous l’apporterai dès que le coursier sera là. [/INST] 2"
1,2,0,"[INST] <<SYS>>
Vous êtes un évaluateur linguistique utilisant le Cadre européen commun de référence pour les langues (CECRL). Votre mission est d'attribuer une note de compétence linguistique à ce texte, en utilisant les niveaux du CECRL, allant de A1 (débutant) à C2 (avancé/natif). Évaluez ce texte et attribuez-lui la note correspondante du CECRL.
<</SYS>>

  Il aurait dû être fâché parce qu’il soutenait l’équipe française mais au lieu de ça, il a dit : « Quel joueur ! [/INST] 2.5"
2,0,0,"[INST] <<SYS>>
Vous êtes un évaluateur linguistique utilisant le Cadre européen commun de référence pour les langues (CECRL). Votre mission est d'attribuer une note de compétence linguistique à ce texte, en utilisant les niveaux du CECRL, allant de A1 (débutant) à C2 (avancé/natif). Évaluez ce texte et attribuez-lui la note correspondante du CECRL.
<</SYS>>

  Vivant, il me déchargeait de l’inique obligation ; mort, il me privait de son inculture, indispensable rempart contre la suspicion des autres. [/INST] 0,5"
3,2,0,"[INST] <<SYS>>
Vous êtes un évaluateur linguistique utilisant le Cadre européen commun de référence pour les langues (CECRL). Votre mission est d'attribuer une note de compétence linguistique à ce texte, en utilisant les niveaux du CECRL, allant de A1 (débutant) à C2 (avancé/natif). Évaluez ce texte et attribuez-lui la note correspondante du CECRL.
<</SYS>>

  Et je lui claque la porte au nez. [/INST] 2.5"
4,0,0,"[INST] <<SYS>>
Vous êtes un évaluateur linguistique utilisant le Cadre européen commun de référence pour les langues (CECRL). Votre mission est d'attribuer une note de compétence linguistique à ce texte, en utilisant les niveaux du CECRL, allant de A1 (débutant) à C2 (avancé/natif). Évaluez ce texte et attribuez-lui la note correspondante du CECRL.
<</SYS>>

  Attention, je ne compte pas faire ça en fanfare, comme si c’était un acte de courage ou de défi. [/INST] 0,5"
5,0,0,"[INST] <<SYS>>
Vous êtes un évaluateur linguistique utilisant le Cadre européen commun de référence pour les langues (CECRL). Votre mission est d'attribuer une note de compétence linguistique à ce texte, en utilisant les niveaux du CECRL, allant de A1 (débutant) à C2 (avancé/natif). Évaluez ce texte et attribuez-lui la note correspondante du CECRL.
<</SYS>>

  Et encore : je crois que la lucidité rend le succès amer alors que la médiocrité espère toujours quelque chose. [/INST] 04"
6,0,0,"[INST] <<SYS>>
Vous êtes un évaluateur linguistique utilisant le Cadre européen commun de référence pour les langues (CECRL). Votre mission est d'attribuer une note de compétence linguistique à ce texte, en utilisant les niveaux du CECRL, allant de A1 (débutant) à C2 (avancé/natif). Évaluez ce texte et attribuez-lui la note correspondante du CECRL.
<</SYS>>

  Puisque ma faim ne pouvait être apaisée dans le jeu d’interactions sociales que ma condition rendait inconcevables – et je compris cela plus t ard, cette compassion dans les yeux de ma sauveuse, car vit -on jamais une pauvresse percer l’ivresse du langage et s’y exercer avec d’autres ? [/INST] 0"
7,2,0,"[INST] <<SYS>>
Vous êtes un évaluateur linguistique utilisant le Cadre européen commun de référence pour les langues (CECRL). Votre mission est d'attribuer une note de compétence linguistique à ce texte, en utilisant les niveaux du CECRL, allant de A1 (débutant) à C2 (avancé/natif). Évaluez ce texte et attribuez-lui la note correspondante du CECRL.
<</SYS>>

  D ’ailleurs, j’ai bien intérêt à ce que personne ne soupçonne rien. [/INST] 2.5"
8,2,0,"[INST] <<SYS>>
Vous êtes un évaluateur linguistique utilisant le Cadre européen commun de référence pour les langues (CECRL). Votre mission est d'attribuer une note de compétence linguistique à ce texte, en utilisant les niveaux du CECRL, allant de A1 (débutant) à C2 (avancé/natif). Évaluez ce texte et attribuez-lui la note correspondante du CECRL.
<</SYS>>

  Quand le haka a commencé, c’est surtout lui que j’ai regardé. [/INST] 2.8"
9,0,0,"[INST] <<SYS>>
Vous êtes un évaluateur linguistique utilisant le Cadre européen commun de référence pour les langues (CECRL). Votre mission est d'attribuer une note de compétence linguistique à ce texte, en utilisant les niveaux du CECRL, allant de A1 (débutant) à C2 (avancé/natif). Évaluez ce texte et attribuez-lui la note correspondante du CECRL.
<</SYS>>

  Dans Taniguchi, les héros meurent en escaladant l’Everest. [/INST] 0.5"
