,predictions,labels,generation
0,2,0,"[INST] <<SYS>>

<</SYS>>

  Je vous l’apporterai dès que le coursier sera là. [/INST] 20/"
1,4,0,"[INST] <<SYS>>

<</SYS>>

  Il aurait dû être fâché parce qu’il soutenait l’équipe française mais au lieu de ça, il a dit : « Quel joueur ! [/INST] 4/ Je"
2,0,0,"[INST] <<SYS>>

<</SYS>>

  Vivant, il me déchargeait de l’inique obligation ; mort, il me privait de son inculture, indispensable rempart contre la suspicion des autres. [/INST] 04/"
3,2,0,"[INST] <<SYS>>

<</SYS>>

  Et je lui claque la porte au nez. [/INST] 20/"
4,0,0,"[INST] <<SYS>>

<</SYS>>

  Attention, je ne compte pas faire ça en fanfare, comme si c’était un acte de courage ou de défi. [/INST] 00:"
5,4,0,"[INST] <<SYS>>

<</SYS>>

  Et encore : je crois que la lucidité rend le succès amer alors que la médiocrité espère toujours quelque chose. [/INST] 4/ Je"
6,4,0,"[INST] <<SYS>>

<</SYS>>

  Puisque ma faim ne pouvait être apaisée dans le jeu d’interactions sociales que ma condition rendait inconcevables – et je compris cela plus t ard, cette compassion dans les yeux de ma sauveuse, car vit -on jamais une pauvresse percer l’ivresse du langage et s’y exercer avec d’autres ? [/INST] 400"
7,0,0,"[INST] <<SYS>>

<</SYS>>

  D ’ailleurs, j’ai bien intérêt à ce que personne ne soupçonne rien. [/INST] 0:0"
8,0,0,"[INST] <<SYS>>

<</SYS>>

  Quand le haka a commencé, c’est surtout lui que j’ai regardé. [/INST] 04/"
9,4,0,"[INST] <<SYS>>

<</SYS>>

  Dans Taniguchi, les héros meurent en escaladant l’Everest. [/INST] 4/ Je"
10,0,0,"[INST] <<SYS>>

<</SYS>>

  Mais Antoine Pallières, dont la répugnante et embryonnaire moustache n’emporte avec elle rien de félin, me regarde, incertain de mes paroles étranges. [/INST] 04/"
11,0,0,"[INST] <<SYS>>

<</SYS>>

  Je m’étais depuis longtemps accoutumée à la perspective d’une vie solitaire. [/INST] 01."
12,0,0,"[INST] <<SYS>>

<</SYS>>

  Parmi les personnes que ma famille fréquente, toutes ont suivi la même voie : une jeunesse à essayer de rentabiliser son intelligence, à presser comm e un citron le filon des études et à s’assurer une position d’élite et puis toute une vie à se demander avec ahurissement pourquoi de tels espoirs ont débouché sur une existence aussi vaine. [/INST] 0"
13,0,0,"[INST] <<SYS>>

<</SYS>>

  On pourrait pens er que jouer les intelligences normales quand, comme moi, à douze ans, on a le niveau d’une khâgneuse, c’est facile. [/INST] 0:0"
14,0,0,"[INST] <<SYS>>

<</SYS>>

  Ça, ce n’est pas du bocal à poissons, non, c’est de la poésie ! [/INST] 00:"
15,4,0,"[INST] <<SYS>>

<</SYS>>

  Tandis que, garante de ma clandestinité, la télévision de la loge beuglait sans que je l’entende des insanités pour cerveaux de praires, je me pâmais, les larmes aux yeux, devant les miracles de l’Art. [/INST] 4.
"
16,3,0,"[INST] <<SYS>>

<</SYS>>

  Mais aucun n’arrivait à la perfection du grand joueur maori. [/INST] 30/"
17,1,0,"[INST] <<SYS>>

<</SYS>>

  Le dimanche, il s’en allait pêcher. [/INST] 15/"
18,0,0,"[INST] <<SYS>>

<</SYS>>

  De la grâce, de la beauté, de l’harmonie, de l’intensité. [/INST] 04/"
19,0,0,"[INST] <<SYS>>

<</SYS>>

  Comment peut -on faire ce que l’on ne comprend pas ? [/INST] 00:"
20,0,0,"[INST] <<SYS>>

<</SYS>>

  Mais même si on compare avec les adultes, je suis beaucoup plus maligne que la plupart d’entre eux. [/INST] 04/"
21,0,0,"[INST] <<SYS>>

<</SYS>>

  Les miracles de l’Art Je m’appelle Renée. [/INST] 00:"
22,5,0,"[INST] <<SYS>>

<</SYS>>

  La pertinence de cette constatation, de la part d’une bonne portu gaise pourtant peu versée dans l’étude des philosophes, me frappa. [/INST] 5/ Je"
23,0,0,"[INST] <<SYS>>

<</SYS>>

  Et du coup, le haka, qui est un chant guerrier, prenait toute sa force. [/INST] 04/"
24,4,0,"[INST] <<SYS>>

<</SYS>>

  Antoine Pallières, héritier prospère d’une vieille dynastie industrielle, est le fils d’un de mes huit employeurs. [/INST] 4/ Je"
25,2,0,"[INST] <<SYS>>

<</SYS>>

  Si vous voulez comprendre notre famille, il suffit de regarder les chats. [/INST] 25/"
26,0,0,"[INST] <<SYS>>

<</SYS>>

  À quoi ça sert de mourir si ce n’est à ne pas souffrir ? [/INST] 00:"
27,0,0,"[INST] <<SYS>>

<</SYS>>

  Mais l’Art… si j’avais dû vivre, ç’aurait été toute ma vie. [/INST] 01."
28,2,0,"[INST] <<SYS>>

<</SYS>>

  Soit tu bouges et tu n’es plus entier, soit tu es entier et tu ne peux pas bouger. [/INST] 25/"
29,0,0,"[INST] <<SYS>>

<</SYS>>

  Elle cr oit que je m’abreuve de sous -culture et je ne la détrompe pas. [/INST] 00:"
30,0,0,"[INST] <<SYS>>

<</SYS>>

  De surcroît, très vite, j’avais avoué à mon mari ma très grande faute. [/INST] 0:0"
31,0,0,"[INST] <<SYS>>

<</SYS>>

  Et puis diable, cette lavallière m’évoque quelque chose. [/INST] 04/"
32,0,0,"[INST] <<SYS>>

<</SYS>>

  Pour arrêter de se déstructurer , il faut ne plus bouger du tout. [/INST] 04/"
33,2,0,"[INST] <<SYS>>

<</SYS>>

  Les gens croient poursuivre les étoiles et ils finissent comme de s poissons rouges dans un bocal. [/INST] 24/"
34,0,0,"[INST] <<SYS>>

<</SYS>>

  Si j’e n trouve, alors je reconsidérerai peut -être les options : si je trouve un beau mouvement des corps, à défaut d’une belle idée pour l’esprit, peut -être alors que je penserai que la vie vaut la peine d’être vécue. [/INST] 04:"
35,0,0,"[INST] <<SYS>>

<</SYS>>

  Elle en consomme tellement que, de toute façon, elle ne s’apercevrait même pas si j’en prenais un tous les jours mais j’ai décidé d’être très prudente. [/INST] 00:"
36,2,0,"[INST] <<SYS>>

<</SYS>>

  Je trouve même ça obscène. [/INST] 25/"
37,2,0,"[INST] <<SYS>>

<</SYS>>

  Les abricots sont plus teigneux que les noirs, qui sentent moins bon. [/INST] 25/"
38,0,0,"[INST] <<SYS>>

<</SYS>>

  Vulgarité de sa belle -famille, le dimanche, assommant à coups de rires gras la douleur d’être né faible et sans avenir ; vulgarité d’un voisinage marqué d e la même désolation blême que les néons de l’usine où les hommes se rendent chaque matin comme on redescend en enfer ; vulgarité des employeuses dont tout l’argent ne sait masquer la vilenie et qui s’adressent à elle comme à un chien croûtant de pelades. [/INST] 0"
39,4,0,"[INST] <<SYS>>

<</SYS>>

  Sans appartement et sans fille, ils penseront peut -être à tous les Africains morts, non ? [/INST] 4/ Je"
40,0,0,"[INST] <<SYS>>

<</SYS>>

  J’aurais pu tomber sur un Grelier. [/INST] 01/"
41,0,0,"[INST] <<SYS>>

<</SYS>>

  Il ne reste plus qu’à s’anesthésier comme on peut en tentant de se masquer le fait qu’on n e trouve aucun sens à sa vie et on trompe ses propres enfants pour tenter de mieux se convaincre soi -même. [/INST] 0:0"
42,4,0,"[INST] <<SYS>>

<</SYS>>

  Je lis tout ce qu’écrit Constan ce Baret, la deuxième de la classe, en maths, en français et en histoire et j’apprends comme ça ce que je dois faire : du français une suite de mots cohérents et correctement orthographiés, des maths la reproduction mécanique d’opérations vides de sens et de l’histoire une succession de faits reliés par des connecteurs logiques. [/INST] 4/ Je"
