dataset,context,model,pairwise_mismatch
ljl,empty,gpt-3.5-turbo-1106,9.2736
ljl,CECRL,gpt-3.5-turbo-1106,11.0605
sentences,CECRL,gpt-3.5-turbo-1106,13.1125
sentences,empty,gpt-3.5-turbo-1106,18.1083
ljl,empty,babbage-002,18.3341
ljl,CECRL,davinci-002,18.6925
sentences,empty,davinci-002,20.9042
ljl,empty,davinci-002,21.0896
sentences,empty,babbage-002,21.2625
ljl,CECRL,babbage-002,23.7482
sentences,CECRL,davinci-002,23.825
sentences,CECRL,babbage-002,25.6417
french-difficulty,CECRL,gpt-3.5-turbo-1106,51.9792
french-difficulty,CECRL,babbage-002,60.9188
french-difficulty,empty,gpt-3.5-turbo-1106,61.125
french-difficulty,CECRL,davinci-002,66.4396
french-difficulty,empty,davinci-002,76.5188
french-difficulty,empty,babbage-002,86.4021
