Sentence,Difficulty,Simplified,Similarity,Estimated_Difficulty
"Car, en principe, la plus grande complication des phénomènes ne tient qu'à ce que leur acomplissement exige le concours d'un ensemble plus éte ndu de conditions hétérogènes, dont chacune étant, à son tour, ou suspendue, ou altérée, ou seulement même transposée, doit fournir d'autant plus de ressources, pour modifier, entre certaines limites, le résultat final du conflit, qu'il dépend d'un plus gr and nombre d'élémens divers.",B2,"En gros, quand quelque chose est très difficile à comprendre, c'est parce qu'il y a beaucoup de choses qui doivent être justes pour qu'il se passe. Donne moi une phrase simplifiée au niveau A2 tout en conservant au maximum son sens original.",0.87879246,B1
"En même temps que les idées, la mode, les critères de comportement social, empruntés à la France, vont peu à peu façonner la société policée de l'Europe continentale et même dans une certaine mesure de l'Angleterre.",C1,"À la même époque, les Français partagent leurs idées, leurs vêtements et leur façon de vivre avec d'autres pays européens, même l'Angleterre.",0.9142533,B1
"Car souvent dans l'une on trouve égaré un jour d'une autre, qui nous y fait vivre, en évoque aussitôt, en fait désirer les plaisirs particuliers et interrompt les rêves que nous étions en train de faire, en plaçant plus tôt ou plus tard qu'à son tour ce feuillet détaché d'un autre chapitre, dans le calendrier interpolé du bonheur ; mais bientôt, comme ces phénomènes naturels dont notre confort ou notre santé ne peuvent tirer qu'un bénéfice accidentel et assez mince jusqu'au jour où la science s'empare d'eux et, les produisant à volonté, remet en nos mains la possibilité de leur apparition, soustraite à la tutelle et dispensée de l'agrément du hasard, de même la production de ces rêves d'Atlantique et d'Italie cessa d'être soumise uniquement aux changements des saisons et du temps.",B2,"Parfois, on se retrouve dans une situation où un jour d'un autre change la vie, et on en parle aussitôt, on en veut plus, et ça interrompt nos rêves. Mais ça ne dure pas, comme les phénomènes naturels, on en profite quand on peut, mais quand on sait comment les faire, on en a plus.""""""",0.93531865,B1
"Une telle discussion n'a, d'ailleurs, d'intérêt, ni même de réalité, que sous le simple point de vue didactique, qui, malgré son importa nce, ne saurait affecter que d'une manière indirecte et secondaire l'esprit général de cet ouvrage.",B1,"Parler de cette question n'a pas beaucoup d'importance, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment crucial pour tout le livre.",0.8592578,B1
"Asiles, fermes, bistrots, musées s'entrecroisent, dans un mouvement de balancier entre des descriptions sordides et des périodes plus apaisées, fournies par une journée réussie de mendicité ou les excentricités du poète anarchiste Emil Szittya, rencontré à Stuttgart.",B2,"Les endroits où l'on se retrouve, comme les lieux où l'on travaille, les maisons et les musées, forment un mélange qui ressemble à une journée bien passée. Par exemple, quand on a beaucoup de chance à travailler et on rencontre des gens intéressants comme Emil Szittya, un poète qui a vécu à Stuttgart.",0.91531444,B1
"La condition essentielle de cette précieuse méthode, consiste dans l'existence d'une suite suffisamment étendue de cas analogues mais distincts, où un phénomène commun se modifie de plus en plus, soit p ar des simplifications, soit par des dégradations successives et presque continues.",C1,"Pour que cette méthode fonctionne, il faut avoir beaucoup d'exemples qui sont presque les mêmes mais pas tout à fait, et où quelque chose change un peu tout le temps.",0.88575196,B1
"Confronté avec rien de pire qu'un général en cuir crissant et ces mouvements légèrement percutants qui sont communs aux personnages militaires, lesquels semblent aspirer l'air au- dedans, sentent la poudre à canon et la chair de cheval, et, bien que léthargiques, ont l'air prêts à participer à une guerre encore indéterminée (type d'hommes pour lequel Hedwige s'était senti beaucoup d'inclination), Guido avait été secoué d'un tremblement invisible.",B1,"Quand les soldats marchent lentement avec des uniformes en cuir, ils sentent l'odeur de la poudre et de la chair de cheval. Ils sont prêts à combattre même si ils sont fatigués. Guido a ressenti un tremblement qu'on ne voit pas.",0.9118782,B1
"Suis-je un amuseur stipendié, dont on exige tous les soirs qu'il joue une farce intellectuelle sous vos nez imbéciles",B1,Est-ce que je dois faire des blagues pour les gens qui ne comprennent pas quand je joue de la musique ?,0.8833253,B1
"L'empire de l'éducation, et, surtout, l'état correspondant du développement général de l'humanité, domine nt tellement la marche individuelle des esprits même les plus éminens, que le génie le plus profondément philosophique dont la chimie puisse s'honorer jusque ici, le grand Berthollet, dans l'immortel ouvrage où il a si victorieusement renversé l'ancienne doctrine des affinités invariables ou électives, ne peut luimême achever de se soustraire complétement aux habitudes (alors il est vrai, si prépondérantes) d'ontologie chimique, et maintient, pour l'explication journalière des phénomènes, l'usage presque a rbitraire des vaines conceptions d'affinité, rendues encore plus vagues par les modifications mêmes qu'il a dû leur faire subir.",C2,"L'éducation et l'évolution de l'humanité influencent beaucoup les gens, même les très intelligents comme Berthollet, qui a changé la chimie, mais ils ne peuvent pas tout échapper.",0.88980263,B2
L'activité dépendante présuppose un rapport de subordination de l'employé qui se soumet aux instructions de l'employeur.,B1,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.8682897,A2
"Quiconque aurait la dans mon coeur en son absence m'aurait pris pour un séducteur froid et peu sensible ; quiconque m'eût aperçu à ses côtés eût cru reconnaître en moi un amant novice, interdit et passionné.",B1,"Si quelqu'un avait mon cœur avant moi, il aurait dit que je suis un homme froid. Si quelqu'un avait vu mon amour pour elle, il aurait dit que je suis un amant naïf et passionné.",0.90289414,B1
Un revenu devient donc une nécessité pour que l'Homme puisse accéder à la satisfaction d'avoir comblé ses désirs,B1,"Pour avoir ce qu'il veut, il faut de l'argent.",0.790385,A2
"Le ""rebâchage"" envoie les données dans la première mémoire, tandis que plusieurs approches différentes d'un même sujet vont permettre de dégager du sens et d'envoyer les don- nées communes au coeur de la mémoire sémantique"", explique-t-il",B2,"Quand on utilise des informations de nouveau, elles vont dans la première partie de notre tête, et si on a plusieurs idées sur un sujet, ça peut être plus facile à comprendre, dit-il.",0.9252294,B1
Cette activité apparait dans la religion grecque de l'Antiquité comme un cadeau qui est toutefois imposé aux Hommes pour qu'ils puissent survivre,B2,"Dans l'ancienne religion grecque, on pense que faire des choses est un cadeau de Dieu, mais aussi un travail important pour les hommes.",0.9510125,B1
"Tout ce qu'on pourrait, à cet égard, concevoir de vraiment rationnel, abstraction faite des inductions analogiques plus ou moins plausibles auxquelles peuvent con duire certains rapprochemens déjà constatés, consisterait à découvrir des relations générales entre les propriétés chimiques de chaque élément et l'ensemble de ses propriétés physiques.",C2,"Si on regarde les éléments chimiques de manière logique, en ne prenant pas en compte les comparaisons, on pourrait trouver des relations entre leurs propriétés chimiques et leurs propriétés physiques.",0.93115276,C1
"Mais, il ne résul te point inévitablement de cette considération la conséquence irréfléchie qu'on a tenté d'en déduire.",B1,"Mais, ce n'est pas toujours la réponse que l'on a trouvée qui est vraie.",0.807433,B1
"""Comment voulez-vous demander une analyse grammaticale ou parler du pronom relatif à un enfant qui n'emploie que des propositions juxtaposées ?""",B1,Comment demander à quelqu'un de simplifier une phrase en français tout en conservant au maximum son sens original ?,0.89921236,B1
"Mais il me semble néanmoins incontestable que son infériorité actuelle doit, en outre, être subsidiairement attribuée au vicieux esprit philosophique suivant lequel les recherches habituelles y sont jusqu'ici conçues et dirigées, et à l'éducation si défectueuse de la plupart des savans qui s'y livrent.",B2,"Mais je pense qu'il y a plusieurs raisons pour lesquelles il est comme ça, comme un mauvais esprit et un enseignement pas très bien fait pour les scientifiques.",0.8615062,B1
"Notre esprit commence réellement à rencontrer ici, par la complication des phénomènes, mais à un degré infiniment moindre, l'obstacle essentiel que la nature des recherches physiologiques oppose si complétement à la méthode p urement expérimentale, dont l'usage est presque toujours illusoire.",B2,"Quand on regarde comment les êtres vivants fonctionnent, on rencontre des problèmes pour faire des expériences scientifiques.",0.8640622,B2
"Car, d'après une hiérarchie fondamentale des élémens, la nomenclature systématique des diverses substances composées suffira presque pour donner, en quelque sorte spontanément, une première i ndication réelle de l'issue générale propre à chaque événement chimique, ou, du moins, pour restreindre l'incertitude à cet égard entre d'étroites limites.",C2,"Parce que les éléments sont classés de manière fondamentale, la nomenclature des substances chimiques simplifie beaucoup la prédiction de l'issue d'une réaction chimique. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original.",0.92818606,C2
"J'espère, d'ailleurs, que de cette sévère et consciencieuse appréciation du véritable état de chaque science, il résultera, pour les bons esprits, une stimulation à la cultiver beaucoup plus qu'une répugnance à l'étudier: car, l'activité humaine doit être, sans doute, bien autr ement satisfaite en concevant les sciences comme naissantes et par suite, susceptibles, d'une manière presque indéfinie, de progrès larges et variés (ainsi que toutes le sont réellement plus ou moins), au lieu de les supposer parfaites, et, en conséquence, essentiellement immobiles, si ce n'est dans leurs développemens secondaires.",C2,"Je vais espérer que cette analyse approfondie des sciences actuelles les rendra plus intéressantes à étudier, plutôt que les rendre ennuyeuses. Parce que les sciences doivent être vues comme en constante évolution, pas comme parfaites et immobiles.",0.8880596,C1
"Il faut, ensuite, par le même moti f, étudier aussi, à la même école, l'esprit général de la méthode comparative proprement dite, dont les chimistes ne se forment ordinairement, jusqu'ici, aucune idée juste, et sans laquelle, néanmoins, on ne peut procéder convenablement à la recherche d'un e classification chimique vraiment rationnelle, comme je l'ai expliqué dans la leçon précédente.",B2,"Après cela, il est aussi important d'apprendre à l'école à comparer les méthodes scientifiques, ce que les chimistes ne font pas souvent. Sinon, on ne peut pas trouver une classification chimique logique, comme je l'ai dit dans la leçon précédente.",0.9088929,B1
"De cette relation immédiate, résulte, évidemment, une subordination indirecte, mais nécessaire, de la chimie envers l'ensemble de l'astronomie, et même de la science mathématique, comme fondemens indisp ensables de toute physique sérieuse.",B2,"Parce que la chimie est très liée à l'espace et aux maths, elle est très importante pour comprendre la physique.",0.8611423,B1
"Préparé, au contraire, par une éducation mathématique et astronomique, un esprit de cette trem pe eût produit, sans doute, même alors, des résultats philosophiques bien plus complets et plus durables.",C1,"Très doué en mathématiques et en astronomie, cet homme aurait pu faire des découvertes importantes et durables.",0.836012,B2
"Cette science est sans doute, jusque ici, trop rapprochée de son berceau, pour que sa division définitive et la vraie coordination de ses parties principales aient pu encore se manifester spontanément, d'une manière non équivoque .",C2,"La science en question est peut-être trop liée à son origine pour que sa division définitive se fasse naturellement, sans confusion.",0.93529433,C2
"D'ailleurs, le souvenir du roman facilitant l'intelligence du libretto, elle suivait l'intrigue phrase à phrase, tandis que d'insaisissables pensées qui lui revenaient, se dispersaient, aussitôt, sous les rafales de la musique.",B1,"En réalité, le livre m'a aidé à comprendre l'histoire de l'opéra. Il suivait chaque phrase de la pièce et avait des pensées qui disparaissaient vite avec la musique.",0.92238975,B1
"Or, jusqu'à cette mémorable époque, toutes les écoles, malgré leurs innombrables divergences, s'accordaient à ne reconnaître qu'u ne seule substance élémentaire, et ne disputaient entre elles, à cet égard, que sur le choix du principe.",B2,"Depuis longtemps, les différentes façons de penser se sont accordées sur ce qui existe, mais elles se disputent sur la meilleure façon de le comprendre.",0.8820148,B2
Souvent elle était rêveuse et taciturne ; quelquefois elle parlait avec impétuosité.,B1,"Elle était parfois en silence et pensait beaucoup, mais quand elle parlait, elle parlait fort.",0.81573683,B1
"Il reste donc, sous ces divers rapports essentiels, beaucoup à faire encore relativement à cette importante question de philosophie chimique.",B1,"Donc, il reste beaucoup à faire pour bien comprendre cette question importante de la philosophie chimique.",0.9521714,B2
"Mon père lui en reparla dans nos rencontres ultérieures, le tortura de questions, ce fut peine inutile : comme cet escroc érudit qui employait à fabriquer de faux palimpsestes un labeur et une science dont la centième partie eût suffi à lui assurer une situation plus lucrative, mais honorable, M. Legrandin, si nous avions insisté encore, aurait fini par édifier toute une éthique de paysage et une géographie céleste de la basse Normandie, plutôt que de nous avouer qu'à deux kilomètres de Balbec habitait sa propre soeur, et d'être obligé à nous offrir une lettre d'introduction qui n'eût pas été pour lui un tel sujet d'effroi s'il avait été absolument certain - comme il aurait dû l'être en effet avec l'expérience qu'il avait du caractère de ma grand'mère - que nous n'en aurions pas profité.",B2,"Mon papa a toujours demandé à M. Legrandin des choses sur ses actions pas honnêtes, mais il n'a jamais dit la vérité. Si on l'avait poussé plus loin, il aurait peut-être créé une idée tout à fait nouvelle sur la Normandie, plutôt que de nous dire que sa sœur vivait près de Balbec. Il aurait dû nous donner une lettre pour que nous puissions nous faire connaître, mais il aurait été effrayé par l'idée que nous pourrions en tirer un avantage si nous l'avions utilisé.",0.96888566,B2
"Mais là, il ne s'agissait que de l'usage irréfléchi d'un instrument, qui, judicieusement dirigé, est susceptible, pour un tel ordre de recherches, d'une admirable efficacité.",B1,"Mais il fallait être prudent avec l'utilisation de cet outil, car il pouvait être très utile si on le utilisait bien.",0.8800288,B1
"En second lieu, parmi les conditions extrêmement variées propres au développ ement des divers phénomènes chimiques, on a pu remarquer, pour ainsi dire de tout temps, cette condition fondamentale et commune, qui est ordinairement bien loin de suffire, mais qui se présente toujours comme strictement indispensable: la nécessité du con tact immédiat des particules antagonistes, et, par suite, celle de l'état fluide, soit gazeux, soit liquide, de l'une au moins des substances considérées.",C2,"D'autre part, on a constaté que pour que les réactions chimiques se produisent, il faut que les substances soient en contact et qu'elles soient dans un état fluide, soit gazeux, soit liquide.",0.907966,B2
