Original,Difficulty,Simplified_0,Similarity_0,Difficulty_0,Simplified_1,Similarity_1,Difficulty_1,Simplified_2,Similarity_2,Difficulty_2,Simplified_3,Similarity_3,Difficulty_3,Simplified_4,Similarity_4,Difficulty_4,Simplified_5,Similarity_5,Difficulty_5,Simplified_6,Similarity_6,Difficulty_6,Simplified_7,Similarity_7,Difficulty_7,Simplified_8,Similarity_8,Difficulty_8,Simplified_9,Similarity_9,Difficulty_9
Les hommes se croient libres alors qu'ils sont contraints ou déterminés par leur nature,C2,Les gens pensent qu'ils sont libres mais ils sont souvent influencés par leur nature.,0.9231993,B1,"Les gens croient qu'ils font ce qu'ils veulent, mais ils sont souvent influencés par leur caractère.",0.88798916,B1,"Les gens pensent qu'ils font ce qu'ils veulent, mais ils sont souvent influencés par leur personnalité.",0.88861424,B1,"Les gens croient qu'ils font ce qu'ils veulent, mais leur caractère les influence souvent.",0.9044771,B1,"Les gens pensent qu'ils font ce qu'ils veulent, mais leur personnalité les aide ou les empêche parfois.",0.9073727,B1,"Les gens croient qu'ils font ce qu'ils veulent, mais leur caractère peut les aider ou les empêcher parfois.",0.90418535,B1,"Les gens pensent qu'ils font ce qu'ils veulent, mais leur personnalité peut les aider ou les empêcher parfois.",0.8974061,B1,"Les gens croient qu'ils font ce qu'ils veulent, mais leur caractère peut les aider ou les empêcher parfois.",0.90418535,B1,"Les gens pensent qu'ils font ce qu'ils veulent, mais leur personnalité peut les aider ou les empêcher parfois.",0.8974061,B1,"Les gens croient qu'ils font ce qu'ils veulent, mais leur caractère peut les aider ou les empêcher parfois.",0.90418535,B1
"Nous devons, avant tout, caractériser avec exactitude l'objet général propre à cette dernière partie de la philosophie inorganique.",C2,"Avant tout, il faut décrire bien l'idée principale de cette partie de la philosophie des objets sans vie.",0.94682133,C2,"D'accord, explique bien l'idée principale de cette partie de la philosophie des choses qui ne pensent pas.",0.8781505,B1,"D'accord, parle moi bien de l'idée principale de cette partie de la philosophie des choses qui ne pensent pas.",0.87852156,B1,"D'accord, explique-moi bien l'idée principale de cette partie de la philosophie des choses qui ne pensent pas.",0.9070587,B1,"D'accord, parle-moi de l'idée principale de cette partie de la philosophie des choses qui ne pensent pas.",0.9086313,B1,"D'accord, explique-moi ce que veut dire cette partie de la philosophie qui parle des choses qui ne pensent pas.",0.91233027,B1,"D'accord, explique-moi ce que veut dire cette partie de la philosophie qui parle des choses qui ne pensent pas.",0.91233027,B1,"D'accord, explique-moi ce que veut dire cette partie de la philosophie qui parle des choses qui ne pensent pas.",0.91233027,B1,"D'accord, explique-moi ce que veut dire cette partie de la philosophie qui parle des choses qui ne pensent pas.",0.91233027,B1,"D'accord, explique-moi ce que veut dire cette partie de la philosophie qui parle des choses qui ne pensent pas.",0.91233027,B1
"En introduisant, dans des actes chimiques déjà bien explorés, quelques modifications déterminées, même légères et peu nombreuses, il est très rarement possible de prédire avec justesse les changemens qu'el les doivent produire: et néanmoins, sans cette indispensable condition, comme je l'ai si fréquemment établi dans ce traité, il n'existe point, à proprement parler, de science; il y a seulement érudition, quelles que puissent être l'importance et la multipl icité des faits recueillis.",C2,"Si on fait des changements très légers dans des réactions chimiques déjà connues, il est très difficile de savoir ce qu'ils vont faire. Et sans ces changements, il n'y a pas vraiment de science, juste beaucoup de connaissances sans sens.",0.9128186,B1,"Si on change un peu les réactions chimiques, on ne sait pas ce qu'elles feront. Sans ces changements, il n'y a pas de science, juste des connaissances sans sens.",0.9082469,B1,"Si on fait quelque chose de différent avec les réactions chimiques, on ne sait pas ce qu'elles vont faire. Sans ces changements, il n'y a pas de science, juste des choses que l'on sait sans savoir pourquoi.",0.89711523,B1,"Si on fait autre chose avec les réactions chimiques, on ne sait pas ce qu'elles vont faire. Sans changer quelque chose, il n'y a pas de science, juste des choses que l'on fait sans savoir pourquoi.",0.8869704,B1,"Si on fait autre chose avec les réactions chimiques, on ne sait pas ce qu'elles vont faire. Sans changer quelque chose, il n'y a pas de science, juste des choses que l'on fait sans savoir pourquoi.",0.8869704,B1,"Si on fait autre chose avec les réactions chimiques, on ne sait pas ce qu'elles vont faire. Sans changer quelque chose, il n'y a pas de science, juste des choses que l'on fait sans savoir pourquoi.",0.8869704,B1,"Si on fait autre chose avec les réactions chimiques, on ne sait pas ce qu'elles vont faire. Sans changer quelque chose, il n'y a pas de science, juste des choses que l'on fait sans savoir pourquoi.",0.8869704,B1,"Si on fait autre chose avec les réactions chimiques, on ne sait pas ce qu'elles vont faire. Sans changer quelque chose, il n'y a pas de science, juste des choses que l'on fait sans savoir pourquoi.",0.8869704,B1,"Si on fait autre chose avec les réactions chimiques, on ne sait pas ce qu'elles vont faire. Sans changer quelque chose, il n'y a pas de science, juste des choses que l'on fait sans savoir pourquoi.",0.8869704,B1,"Si on fait autre chose avec les réactions chimiques, on ne sait pas ce qu'elles vont faire. Sans changer quelque chose, il n'y a pas de science, juste des choses que l'on fait sans savoir pourquoi.",0.8869704,B1
"Il y en avait un qui était un haut compartiment divisé en une centaine de petits vitraux rectangulaires où dominait le bleu, comme un grand jeu de cartes pareil à ceux qui devaient distraire le roi Charles vi ; mais soit qu'un rayon eût brillé, soit que mon regard en bougeant eût promené à travers la verrière, tour à tour éteinte et rallumée, un mouvant et précieux incendie, l'instant d'après elle avait pris l'éclat changeant d'une traîne de paon, puis elle tremblait et ondulait en une pluie flamboyante et fantastique qui dégouttait du haut de la voûte sombre et rocheuse, le long des parois humides, comme si c'était dans la nef de quelque grotte irisée de sinueuses stalactites que je suivais mes parents, qui portaient leur paroissien ; un instant après les petits vitraux en losange avaient pris la transparence profonde, l'infrangible dureté de saphirs qui eussent été juxtaposés sur quelque immense pectoral, mais derrière lesquels on sentait plus aimé que toutes ces richesses, un sourire momentané de soleil ; il était aussi reconnaissable dans le flot bleu et doux dont il baignait les pierreries que sur le pavé de la place ou la paille du marché ; et, même à nos premiers dimanches quand nous étions arrivés avant pâques, il me consolait que la terre fût encore nue et noire, en faisant épanouir, comme en un printemps historique et qui datait des successeurs de saint Louis, ce tapis éblouissant et doré de myosotis en verre.",C2,"Il y avait une grande fenêtre avec beaucoup de petits carrés de verre bleus, comme une grande collection de cartes à jouer. Quand le soleil passait à travers elle, elle faisait des jolis effets de lumière qui changeaient tout le temps. Ça me rappelait un endroit sombre et humide comme une grotte avec des pierres colorées. Quand je regardais à travers elle, je pouvais voir des pierres précieuses et un peu de soleil. Ça me faisait sentir mieux que toutes ces richesses.",0.9323492,B1,"Il y avait une grande fenêtre avec beaucoup de petits carrés de verre bleus. Quand le soleil passait à travers elle, elle faisait des jolis effets de lumière. Ça me rappelait une grotte avec des pierres colorées. Quand je regardais à travers elle, je pouvais voir des pierres précieuses et un peu de soleil. Ça me faisait sentir mieux.",0.9093906,B1,"Il y avait une grande fenêtre avec beaucoup de petits carrés de verre bleus. Quand le soleil passait à travers elle, elle faisait des jolis effets de lumière. Ça me rappelait une grotte avec des pierres colorées. Quand je regardais à travers elle, je pouvais voir des pierres précieuses et un peu de soleil. Ça me faisait sentir mieux.",0.9093906,B1,"Il y avait une grande fenêtre avec beaucoup de petits carrés de verre bleus. Quand le soleil passait à travers elle, elle faisait des jolis effets de lumière. Ça me rappelait une grotte avec des pierres colorées. Quand je regardais à travers elle, je pouvais voir des pierres précieuses et un peu de soleil. Ça me faisait sentir mieux.",0.9093907,B1,"Il y avait une grande fenêtre avec beaucoup de petits carrés de verre bleus. Quand le soleil passait à travers elle, elle faisait des jolis effets de lumière. Ça me rappelait une grotte avec des pierres colorées. Quand je regardais à travers elle, je pouvais voir des pierres précieuses et un peu de soleil. Ça me faisait sentir mieux.",0.9093907,B1,"Il y avait une grande fenêtre avec beaucoup de petits carrés de verre bleus. Quand le soleil passait à travers elle, elle faisait des jolis effets de lumière. Ça me rappelait une grotte avec des pierres colorées. Quand je regardais à travers elle, je pouvais voir des pierres précieuses et un peu de soleil. Ça me faisait sentir mieux.",0.9093907,B1,"Il y avait une grande fenêtre avec beaucoup de petits carrés de verre bleus. Quand le soleil passait à travers elle, elle faisait des jolis effets de lumière. Ça me rappelait une grotte avec des pierres colorées. Quand je regardais à travers elle, je pouvais voir des pierres précieuses et un peu de soleil. Ça me faisait sentir mieux.",0.9093907,B1,"Il y avait une grande fenêtre avec beaucoup de petits carrés de verre bleus. Quand le soleil passait à travers elle, elle faisait des jolis effets de lumière. Ça me rappelait une grotte avec des pierres colorées. Quand je regardais à travers elle, je pouvais voir des pierres précieuses et un peu de soleil. Ça me faisait sentir mieux.",0.9093907,B1,"Il y avait une grande fenêtre avec beaucoup de petits carrés de verre bleus. Quand le soleil passait à travers elle, elle faisait des jolis effets de lumière. Ça me rappelait une grotte avec des pierres colorées. Quand je regardais à travers elle, je pouvais voir des pierres précieuses et un peu de soleil. Ça me faisait sentir mieux.",0.9093907,B1,"Il y avait une grande fenêtre avec beaucoup de petits carrés de verre bleus. Quand le soleil passait à travers elle, elle faisait des jolis effets de lumière. Ça me rappelait une grotte avec des pierres colorées. Quand je regardais à travers elle, je pouvais voir des pierres précieuses et un peu de soleil. Ça me faisait sentir mieux.",0.9093907,B1
La nullité des français en langues étrangères et particulièrement en anglais est avérée,C2,"Les Français ont souvent du mal avec les langues étrangères, surtout l'anglais, et ça a été prouvé.",0.8540691,B1,"Les Français ont du mal avec les langues étrangères, surtout l'anglais, et ça a été montré.",0.8755424,B1,"Les Français ont du mal avec les langues étrangères, surtout l'anglais, et ça a été montré.",0.8755424,B1,"Les Français ont du mal avec les langues étrangères, surtout l'anglais, et ça a été montré.",0.8755424,B1,"Les Français ont du mal avec les langues étrangères, surtout l'anglais, et ça a été montré.",0.8755424,B1,"Les Français ont du mal avec les langues étrangères, surtout l'anglais, et ça a été montré.",0.8755424,B1,"Les Français ont du mal avec les langues étrangères, surtout l'anglais, et ça a été montré.",0.8755424,B1,"Les Français ont du mal avec les langues étrangères, surtout l'anglais, et ça a été montré.",0.8755424,B1,"Les Français ont du mal avec les langues étrangères, surtout l'anglais, et ça a été montré.",0.8755424,B1,"Les Français ont du mal avec les langues étrangères, surtout l'anglais, et ça a été montré.",0.8755424,B1
Dix ans de fidélité avaient inspiré à M. de P *** une confiance entière ; il laissait à Ellénore la plus grande liberté.,C2,"M. de P *** avait beaucoup de confiance en Ellénore après 10 ans de travail ensemble, il lui laissait beaucoup de liberté.",0.9700365,B2,"M. de P *** avait beaucoup de confiance en Ellénore après 10 ans de travail ensemble, il lui laissait beaucoup de liberté.",0.97003645,B2,"M. de P *** avait beaucoup de confiance en Ellénore après 10 ans de travail ensemble, il lui laissait beaucoup de liberté.",0.97003645,B2,"M. de P *** avait beaucoup de confiance en Ellénore après 10 ans de travail ensemble, il lui laissait beaucoup de liberté.",0.97003645,B2,"M. de P *** avait beaucoup de confiance en Ellénore après 10 ans de travail ensemble, il lui laissait beaucoup de liberté.",0.97003645,B2,"M. de P *** avait beaucoup de confiance en Ellénore après 10 ans de travail ensemble, il lui laissait beaucoup de liberté.",0.97003645,B2,"M. de P *** avait beaucoup de confiance en Ellénore après 10 ans de travail ensemble, il lui laissait beaucoup de liberté.",0.97003645,B2,"M. de P *** avait beaucoup de confiance en Ellénore après 10 ans de travail ensemble, il lui laissait beaucoup de liberté.",0.97003645,B2,"M. de P *** avait beaucoup de confiance en Ellénore après 10 ans de travail ensemble, il lui laissait beaucoup de liberté.",0.97003645,B2,"M. de P *** avait beaucoup de confiance en Ellénore après 10 ans de travail ensemble, il lui laissait beaucoup de liberté.",0.97003645,B2
"La vraie science consiste, en tout genre, dans les relations exactes établies entre les faits observés, afin de déd uire, du moindre nombre possible de phénomènes fondamentaux, la suite la plus étendue de phénomènes secondaires, en renonçant absolument à la vaine enquête des causes et des essences.",C2,La vraie science est de trouver les relations entre les choses que l'on voit pour expliquer tout le reste sans chercher les raisons profondes.,0.92403084,B2,La vraie science est de voir comment les choses sont liées pour comprendre tout le reste sans chercher trop loin.,0.8944663,B1,La vraie science est de voir comment les choses sont liées pour comprendre tout le reste sans chercher trop loin.,0.8944663,B1,La vraie science est de voir comment les choses sont liées pour comprendre tout le reste sans chercher trop loin.,0.8944663,B1,La vraie science est de voir comment les choses sont liées pour comprendre tout le reste sans chercher trop loin.,0.8944663,B1,La vraie science est de voir comment les choses sont liées pour comprendre tout le reste sans chercher trop loin.,0.8944663,B1,La vraie science est de voir comment les choses sont liées pour comprendre tout le reste sans chercher trop loin.,0.8944663,B1,La vraie science est de voir comment les choses sont liées pour comprendre tout le reste sans chercher trop loin.,0.8944663,B1,La vraie science est de voir comment les choses sont liées pour comprendre tout le reste sans chercher trop loin.,0.8944663,B1,La vraie science est de voir comment les choses sont liées pour comprendre tout le reste sans chercher trop loin.,0.8944663,B1
"Mais, en réalité, la profonde diversité des a spects multiples, presque jamais susceptibles d'être coordonnés sous un chef unique, rend évidemment un tel perfectionnement à la fois très difficile et peu avantageux.",C2,"En fait, la grande variété des opinions et des idées des gens, qui ne sont jamais d'accord entre eux, rend très difficile et peu utile de parvenir à un accord parfait.",0.85505104,B1,"En réalité, les gens ont souvent des opinions différentes et ne sont pas d'accord entre eux. Cela rend très difficile de trouver un accord parfait.",0.7859574,B1,Les gens ont souvent des idées différentes et il est difficile de tout le faire d'accord.,0.82078254,B1,Les gens ont des opinions différentes et il est difficile de tout décider ensemble.,0.8543958,B1,Les gens pensent différemment et il est difficile de tout choisir ensemble.,0.84567624,B1,Les gens ont des idées différentes et il est difficile de tout décider ensemble.,0.8486656,B1,Les gens pensent différemment et il est difficile de tout choisir ensemble.,0.8456763,B1,Les gens ont des idées différentes et il est difficile de tout décider ensemble.,0.8486656,B1,Les gens pensent différemment et il est difficile de tout choisir ensemble.,0.8456763,B1,Les gens ont des idées différentes et il est difficile de tout décider ensemble.,0.8486656,B1
"Quand cette solution aura été enfin obtenue d'une manière vraiment conforme à une telle position de la question, ou peut assurer que la chimie aura fait un pas immense vers l' état pleinement rationnel qui convient à sa nature scientifique.",C2,"Quand on aura trouvé une solution qui convient bien à la question, on pourra dire que la chimie est beaucoup plus rationnelle et scientifique.",0.95012826,B2,"Quand on a trouvé une bonne réponse à la question, on peut dire que la chimie est vraiment logique et scientifique.",0.93377215,B1,"Quand on trouve une bonne réponse à une question en chimie, on sait que c'est vrai et scientifique.",0.88561386,B1,"Quand on trouve une bonne réponse en chimie, on sait qu'elle est vraie et scientifique.",0.87201256,B1,"Quand on trouve une bonne réponse en chimie, on sait qu'elle est vraie et scientifique.",0.87201273,B1,"Quand on trouve une bonne réponse en chimie, on sait qu'elle est vraie et scientifique.",0.87201256,B1,"Quand on trouve une bonne réponse en chimie, on sait qu'elle est vraie et scientifique.",0.87201256,B1,"Quand on trouve une bonne réponse en chimie, on sait qu'elle est vraie et scientifique.",0.87201256,B1,"Quand on trouve une bonne réponse en chimie, on sait qu'elle est vraie et scientifique.",0.87201256,B1,"Quand on trouve une bonne réponse en chimie, on sait qu'elle est vraie et scientifique.",0.87201256,B1
Cette activité apparait dans la religion grecque de l'Antiquité comme un cadeau qui est toutefois imposé aux Hommes pour qu'ils puissent survivre,C2,"Dans la religion grecque ancienne, une activité est vue comme un don mais aussi comme un devoir pour les gens pour vivre.",0.9421743,B2,"Dans l'ancienne religion grecque, on pense que faire des choses bien est un cadeau de Dieu mais aussi un travail important pour vivre bien.",0.9433296,B1,"Dans l'ancienne religion grecque, on croit que faire les bonnes choses vient de Dieu mais on doit aussi travailler pour vivre bien.",0.9125414,B2,"Dans l'ancienne religion grecque, on pense que Dieu nous aide mais on doit aussi travailler pour être heureux.",0.90511966,B1,"Dans l'ancienne religion grecque, on croit que Dieu nous aide mais on doit aussi faire quelque chose pour être heureux.",0.91226286,B1,"Dans l'ancienne religion grecque, on pense que Dieu nous aide mais on doit aussi travailler pour être heureux.",0.90511966,B1,"Dans l'ancienne religion grecque, on croit que Dieu nous aide mais on doit aussi faire quelque chose pour être heureux.",0.91226286,B1,"Dans l'ancienne religion grecque, on pense que Dieu nous aide mais on doit aussi travailler pour être heureux.",0.90511966,B1,"Dans l'ancienne religion grecque, on croit que Dieu nous aide mais on doit aussi faire quelque chose pour être heureux.",0.91226286,B1,"Dans l'ancienne religion grecque, on pense que Dieu nous aide mais on doit aussi travailler pour être heureux.",0.90511966,B1
