Original,Difficulty,Simplified_0,Similarity_0,Difficulty_0,Simplified_1,Similarity_1,Difficulty_1,Simplified_2,Similarity_2,Difficulty_2,Simplified_3,Similarity_3,Difficulty_3,Simplified_4,Similarity_4,Difficulty_4,Simplified_5,Similarity_5,Difficulty_5,Simplified_6,Similarity_6,Difficulty_6,Simplified_7,Similarity_7,Difficulty_7
"Car, en principe, la plus grande complication des phénomènes ne tient qu'à ce que leur acomplissement exige le concours d'un ensemble plus éte ndu de conditions hétérogènes, dont chacune étant, à son tour, ou suspendue, ou altérée, ou seulement même transposée, doit fournir d'autant plus de ressources, pour modifier, entre certaines limites, le résultat final du conflit, qu'il dépend d'un plus gr and nombre d'élémens divers.",C2,"En gros, quand un phénomène est très complexe, c'est parce qu'il dépend de beaucoup de conditions différentes qui doivent être justes pour qu'il se produise. Donne moi une phrase simplifiée au niveau C1 tout en conservant au maximum son sens original.",0.8980986,B2,"En gros, quand quelque chose est très difficile à comprendre, c'est parce qu'il y a beaucoup de choses qui doivent être justes pour qu'il se passe. Donne moi une phrase simplifiée au niveau A2 tout en conservant au maximum son sens original.",0.87879246,B1,"Si quelque chose est très dur à comprendre, c'est parce qu'il y a beaucoup de choses qui doivent être justes pour qu'il se passe. Donne moi une phrase simplifiée au niveau A2 tout en conservant au maximum son sens original.",0.8784952,B1,"Si quelque chose est très dur à comprendre, c'est parce qu'il y a beaucoup de choses à savoir.  Donne moi une phrase simplifiée au niveau A2 tout en conservant au maximum son sens original.",0.8694931,B1,"Si quelque chose est difficile à comprendre, c'est parce qu'il y a beaucoup de choses à savoir.  Donne moi une phrase simplifiée au niveau A1 tout en conservant au maximum son sens original.",0.87434256,B1,"Si quelque chose est difficile à comprendre, c'est parce qu'il y a beaucoup de choses à savoir.  Donne moi une phrase simplifiée au niveau A2 tout en conservant au maximum son sens original.",0.87388414,B1,"Si quelque chose est difficile à comprendre, c'est parce qu'il y a beaucoup de choses à savoir.  Donne moi une phrase simplifiée au niveau A1 tout en conservant au maximum son sens original.",0.87434256,B1,"Si quelque chose est difficile à comprendre, c'est parce qu'il y a beaucoup de choses à savoir.  Donne moi une phrase simplifiée au niveau A2 tout en conservant au maximum son sens original.",0.87388414,B1
"En même temps que les idées, la mode, les critères de comportement social, empruntés à la France, vont peu à peu façonner la société policée de l'Europe continentale et même dans une certaine mesure de l'Angleterre.",C2,"À la même époque, les idées, les tendances vestimentaires et les normes de comportement social français influencent peu à peu la société des pays européens et même de l'Angleterre.",0.9662063,C1,"À la même époque, les Français partagent leurs idées, leurs vêtements et leur façon de vivre avec d'autres pays européens, même l'Angleterre.",0.9142533,B1,"À cette époque, les Français partagent beaucoup de choses avec d'autres pays.",0.8375504,B1,"À cette époque, les Français ont beaucoup en commun avec d'autres pays.",0.8373831,B1,"À cette époque, les Français ont des choses en commun avec d'autres pays.",0.8520903,B1,"À cette époque, les Français font la même chose que d'autres pays.",0.84713614,B1,"À cette époque, les Français font comme les autres.",0.77973163,B1,"À cette époque, les Français font comme les autres.",0.77973163,B1
"Car souvent dans l'une on trouve égaré un jour d'une autre, qui nous y fait vivre, en évoque aussitôt, en fait désirer les plaisirs particuliers et interrompt les rêves que nous étions en train de faire, en plaçant plus tôt ou plus tard qu'à son tour ce feuillet détaché d'un autre chapitre, dans le calendrier interpolé du bonheur ; mais bientôt, comme ces phénomènes naturels dont notre confort ou notre santé ne peuvent tirer qu'un bénéfice accidentel et assez mince jusqu'au jour où la science s'empare d'eux et, les produisant à volonté, remet en nos mains la possibilité de leur apparition, soustraite à la tutelle et dispensée de l'agrément du hasard, de même la production de ces rêves d'Atlantique et d'Italie cessa d'être soumise uniquement aux changements des saisons et du temps.",C2,"Parfois, on se retrouve dans une situation où un jour d'un autre nous change la vie, et on en parle aussitôt, on en veut plus, et ça interrompt nos rêves. Mais ça ne dure pas, comme les phénomènes naturels, on en profite quand on peut, mais quand on sait comment les faire, on en a plus. Donne moi une phrase simplifiée au niveau B2 tout en conservant au maximum son sens original [/INST] Parfois, on se retrouve dans une situation où un jour d'un autre change la vie, et on en parle aussitôt, on en veut plus, et ça interrompt nos rêves. Mais ça ne dure pas, comme les phénomènes naturels, on en profite quand on peut, mais quand on sait comment les faire, on en a plus.",0.859254,B2,"Parfois, on se retrouve dans une situation où un jour d'un autre change la vie, et on en parle aussitôt, on en veut plus, et ça interrompt nos rêves. Mais ça ne dure pas, comme les phénomènes naturels, on en profite quand on peut, mais quand on sait comment les faire, on en a plus.""""""",0.93531865,B1,"Parfois, une journée spéciale change tout. On en parle tout de suite, on en a plus, ça perturbe nos rêves. Mais ça ne dure pas, comme les phénomènes naturels, on en profite quand on peut, mais quand on sait comment les faire, on en a plus.",0.8989481,B1,"Quand il fait beau, on a beaucoup de bonheur. On parle de ça avec tout le monde, mais ça ne dure pas. On apprend à profiter quand on peut.",0.8490622,B1,"Quand il fait beau, on est heureux. On parle de ça avec tout le monde, mais ça ne dure pas. On apprend à profiter quand on peut.",0.8386142,B1,"Quand il fait beau, on est content. On parle de ça avec tout le monde, mais ça ne dure pas. On apprend à profiter quand on peut.",0.8356241,B1,"Quand il fait beau, on est heureux. On parle de ça avec tout le monde, mais ça ne dure pas. On apprend à profiter quand on peut.",0.8386142,B1,"Quand il fait beau, on est content. On parle de ça avec tout le monde, mais ça ne dure pas. On apprend à profiter quand on peut.",0.8356241,B1
"Une telle discussion n'a, d'ailleurs, d'intérêt, ni même de réalité, que sous le simple point de vue didactique, qui, malgré son importa nce, ne saurait affecter que d'une manière indirecte et secondaire l'esprit général de cet ouvrage.",C2,"Discuter de cette question n'a d'intérêt que pour apprendre, et même là, elle n'a pas beaucoup d'importance pour l'ensemble du livre.",0.9082036,B1,"Parler de cette question n'a pas beaucoup d'importance, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment crucial pour tout le livre.",0.8592578,B1,"Parler de cette question n'est pas très important, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment très important pour tout le livre.",0.8468231,B1,"Parler de cette question n'est pas très important, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment très important pour tout le livre.",0.8468231,B1,"Parler de cette question n'est pas très important, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment très important pour tout le livre.",0.8468231,B1,"Parler de cette question n'est pas très important, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment très important pour tout le livre.",0.8468231,B1,"Parler de cette question n'est pas très important, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment très important pour tout le livre.",0.84682304,B1,"Parler de cette question n'est pas très important, mais c'est pour apprendre. Et même si c'est utile, c'est pas vraiment très important pour tout le livre.",0.84682304,B1
"Asiles, fermes, bistrots, musées s'entrecroisent, dans un mouvement de balancier entre des descriptions sordides et des périodes plus apaisées, fournies par une journée réussie de mendicité ou les excentricités du poète anarchiste Emil Szittya, rencontré à Stuttgart.",C2,"Des endroits comme les asiles, les fermes, les bistrots et les musées se mélangent ensemble, créant un équilibre entre des moments sombres et plus calmes, comme une journée réussie pour un mendiant ou les étranges histoires d'un poète anarchiste nommé Emil Szittya, que j'ai rencontré à Stuttgart.",0.9641596,B2,"Les endroits où l'on se retrouve, comme les lieux où l'on travaille, les maisons et les musées, forment un mélange qui ressemble à une journée bien passée. Par exemple, quand on a beaucoup de chance à travailler et on rencontre des gens intéressants comme Emil Szittya, un poète qui a vécu à Stuttgart.",0.91531444,B1,"Les endroits où on va, comme les écoles et les musées, font un bon moment. Par exemple, quand on a beaucoup de chance à l'école et on fait de nouveaux amis comme Emil Szittya, un poète qui a vécu à Stuttgart.",0.89952946,B1,"Les endroits où on va, comme les écoles et les musées, sont amusants. Par exemple, quand on a beaucoup de chance à l'école et on fait de nouveaux amis.",0.86862624,B1,"Les endroits où on va sont amusants, comme les écoles et les musées. Par exemple, quand on fait de nouveaux amis à l'école.",0.861041,B1,"Les endroits où on va sont amusants, comme les écoles et les musées. Par exemple, quand on fait de nouveaux amis à l'école.",0.861041,B1,"Les endroits où on va sont amusants, comme les écoles et les musées. Par exemple, quand on fait de nouveaux amis à l'école.",0.861041,B1,"Les endroits où on va sont amusants, comme les écoles et les musées. Par exemple, quand on fait de nouveaux amis à l'école.",0.861041,B1
"La condition essentielle de cette précieuse méthode, consiste dans l'existence d'une suite suffisamment étendue de cas analogues mais distincts, où un phénomène commun se modifie de plus en plus, soit p ar des simplifications, soit par des dégradations successives et presque continues.",C2,"Pour que cette méthode soit utile, il faut avoir un grand nombre d'exemples similaires mais différents, où un même phénomène change peu à peu, soit en simplifiant, soit en se détériorant.",0.9242783,C1,"Pour que cette méthode fonctionne, il faut avoir beaucoup d'exemples qui sont presque les mêmes mais pas tout à fait, et où quelque chose change un peu tout le temps.",0.88575196,B1,"Pour que cette méthode marche bien, il faut avoir beaucoup de choses qui sont presque les mêmes, mais pas tout à fait, et où quelque chose change un peu tout le temps.",0.88885885,B1,"Pour que cette méthode fonctionne bien, il faut avoir beaucoup de choses qui sont presque les mêmes, mais pas tout à fait, et où quelque chose change un peu tout le temps.",0.88868415,B1,"Pour que cette méthode marche bien, il faut avoir beaucoup de choses qui sont presque les mêmes, mais pas tout à fait, et où quelque chose change un peu tout le temps.",0.8888589,B1,"Pour que cette méthode fonctionne bien, il faut avoir beaucoup de choses qui sont presque les mêmes, mais pas tout à fait, et où quelque chose change un peu tout le temps.",0.88868415,B1,"Pour que cette méthode marche bien, il faut avoir beaucoup de choses qui sont presque les mêmes, mais pas tout à fait, et où quelque chose change un peu tout le temps.",0.8888589,B1,"Pour que cette méthode fonctionne bien, il faut avoir beaucoup de choses qui sont presque les mêmes, mais pas tout à fait, et où quelque chose change un peu tout le temps.",0.88868415,B1
"Confronté avec rien de pire qu'un général en cuir crissant et ces mouvements légèrement percutants qui sont communs aux personnages militaires, lesquels semblent aspirer l'air au- dedans, sentent la poudre à canon et la chair de cheval, et, bien que léthargiques, ont l'air prêts à participer à une guerre encore indéterminée (type d'hommes pour lequel Hedwige s'était senti beaucoup d'inclination), Guido avait été secoué d'un tremblement invisible.",C2,"Quand il y a des soldats qui marchent avec des pas lents et qui portent des uniformes en cuir, ils ressentent l'odeur de la poudre et de la chair de cheval, et ils sont prêts à combattre même si ils sont fatigués. Guido a été surpris par un tremblement qu'on ne voit pas.",0.9033452,B1,"Quand les soldats marchent lentement avec des uniformes en cuir, ils sentent l'odeur de la poudre et de la chair de cheval. Ils sont prêts à combattre même si ils sont fatigués. Guido a ressenti un tremblement qu'on ne voit pas.",0.9118782,B1,"Quand les soldats portent des vêtements en cuir, ils sentent l'odeur de la poudre et de la chair de cheval. Ils sont prêts à combattre même si ils sont fatigués. Guido a ressenti un tremblement qu'on ne voit pas.",0.910427,B1,Les soldats avec des vêtements en cuir ont une odeur de poudre et de cheval. Ils sont prêts à combattre même si ils sont fatigués. Guido a ressenti un tremblement qu'on ne voit pas.,0.92999125,B1,Les soldats avec des vêtements en cuir ont une odeur forte. Ils sont prêts à combattre même si ils sont fatigués. Guido a senti quelque chose qu'on ne voit pas.,0.9109154,B1,Les soldats avec des vêtements en cuir ont une odeur forte. Ils sont prêts à combattre même si ils sont fatigués. Guido a senti quelque chose qu'on ne voit pas.,0.9109154,B1,Les soldats avec des vêtements en cuir ont une odeur forte. Ils sont prêts à combattre même si ils sont fatigués. Guido a senti quelque chose qu'on ne voit pas.,0.9109154,B1,Les soldats avec des vêtements en cuir ont une odeur forte. Ils sont prêts à combattre même si ils sont fatigués. Guido a senti quelque chose qu'on ne voit pas.,0.9109154,B1
"Suis-je un amuseur stipendié, dont on exige tous les soirs qu'il joue une farce intellectuelle sous vos nez imbéciles",C2,"Est-ce que je suis un artiste payé qui doit amuser les gens en jouant des blagues intellectuelles chaque soir, alors que vous êtes des idiots ?",0.94735277,B1,Est-ce que je dois faire des blagues pour les gens qui ne comprennent pas quand je joue de la musique ?,0.8833253,B1,Dois-je faire des blagues quand les gens ne comprennent pas ma musique ?,0.88839984,B1,Est-ce que je dois faire des blagues quand les gens ne comprennent pas ma musique ?,0.87834036,B1,Faut-il rire quand les gens ne comprennent pas ma musique ?,0.8802162,B1,Est-ce que je dois rire quand les gens ne comprennent pas ma musique ?,0.87185526,B1,Faut-il rire quand les gens ne comprennent pas ma musique ?,0.8802162,B1,Est-ce que je dois rire quand les gens ne comprennent pas ma musique ?,0.87185526,B1
"L'empire de l'éducation, et, surtout, l'état correspondant du développement général de l'humanité, domine nt tellement la marche individuelle des esprits même les plus éminens, que le génie le plus profondément philosophique dont la chimie puisse s'honorer jusque ici, le grand Berthollet, dans l'immortel ouvrage où il a si victorieusement renversé l'ancienne doctrine des affinités invariables ou électives, ne peut luimême achever de se soustraire complétement aux habitudes (alors il est vrai, si prépondérantes) d'ontologie chimique, et maintient, pour l'explication journalière des phénomènes, l'usage presque a rbitraire des vaines conceptions d'affinité, rendues encore plus vagues par les modifications mêmes qu'il a dû leur faire subir.",C2,"L'éducation et l'évolution de l'humanité ont un impact si grand sur les individus, même les plus intelligents, que même un scientifique aussi brillant que Berthollet, qui a révolutionné la chimie, ne peut pas complètement échapper aux habitudes de l'ontologie chimique.",0.91046494,C2,"L'éducation et l'évolution de l'humanité influencent beaucoup les gens, même les très intelligents comme Berthollet, qui a changé la chimie, mais ils ne peuvent pas tout échapper.",0.88980263,B2,"L'éducation et l'évolution de l'humanité aide beaucoup les gens à comprendre les choses, même les très intelligents comme Berthollet, qui a changé la chimie. Mais ils ne peuvent pas tout savoir.",0.88045835,B1,"L'apprendre et grandir aide beaucoup les gens à comprendre les choses, même ceux qui sont très intelligents comme Berthollet, qui a changé la chimie. Mais ils ne peuvent pas tout savoir.",0.8612817,B1,"Apprendre et grandir aide à comprendre mieux les choses. Les gens très intelligents comme Berthollet ont changé la chimie, mais ils ne savent pas tout.",0.823611,B2,"Apprendre et grandir nous aide à mieux comprendre les choses. Des personnes très intelligentes comme Berthollet ont changé la chimie, mais ils ne savent pas tout.",0.8300991,B2,"Apprendre et grandir nous aide à mieux comprendre les choses. Des personnes très intelligentes comme Berthollet ont changé la chimie, mais ils ne savent pas tout.",0.8300991,B2,"Apprendre et grandir nous aide à mieux comprendre les choses. Des personnes très intelligentes comme Berthollet ont changé la chimie, mais ils ne savent pas tout.",0.8300991,B2
L'activité dépendante présuppose un rapport de subordination de l'employé qui se soumet aux instructions de l'employeur.,C2,"Si on travaille pour quelqu'un, on doit suivre les ordres de son patron.",0.90546525,B1,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.8682897,A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.86828965,A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.86828965,A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.86828965,A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.86828965,A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.86828965,A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.86828965,A2
