Original,Difficulty,Simplified_0,Similarity_0,Difficulty_0,Simplified_1,Similarity_1,Difficulty_1,Simplified_2,Similarity_2,Difficulty_2,Simplified_3,Similarity_3,Difficulty_3,Simplified_4,Similarity_4,Difficulty_4,Simplified_5,Similarity_5,Difficulty_5,Simplified_6,Similarity_6,Difficulty_6,Simplified_7,Similarity_7,Difficulty_7
"La possibilité reconnue d'une semblable classification doit nécessairement conduire à celle de la méthode comparative, l'une et l'autre étant fondé es sur la considération commune de l'uniformité, dans une longue série de corps différens, de certains phénomènes prépondérans.",C2,"Si on reconnaît qu'il est possible de classer des choses de manière similaire, cela doit nécessairement conduire à comparer ces classifications, car elles sont toutes basées sur l'idée que certaines choses importantes sont similaires dans de nombreux endroits.",0.8692013,B2,"Si on sait que les choses peuvent être classées de manière similaire, il est normal de vouloir comparer ces classifications, car elles sont toutes basées sur l'idée que certaines choses importantes sont similaires dans de nombreux endroits.",0.8590325,B2,"Si on sait que les choses peuvent être regroupées de la même manière, il est normal de vouloir comparer ces groupes, car ils sont tous basés sur l'idée que certaines choses importantes sont similaires dans de nombreux endroits.",0.856817,B1,"Si on voit que des choses sont dans le même ordre, on veut savoir si elles sont pareilles partout.",0.8646003,B1,"Si on voit que des choses sont dans le même ordre, on veut savoir si elles sont pareilles partout.",0.8646003,B1,"Si on voit que des choses sont dans le même ordre, on veut savoir si elles sont pareilles partout.",0.8646003,B1,"Si on voit que des choses sont dans le même ordre, on veut savoir si elles sont pareilles partout.",0.8646003,B1,"Si on voit que des choses sont dans le même ordre, on veut savoir si elles sont pareilles partout.",0.8646003,B1
"Après avoir suffisamment considéré, du point de vue philosophique, le véritable but général de la science chimique, et les moyens fondamentaux d'exploration qui lui sont propres, l'ordre naturel des idées principales relatives à cette leçon nous conduit à examiner rapidement la position encyclopédique de la chimie, c'estàdire à justifier, d'une manière directe et spéciale, quoique sommaire, le rang que j'ai dû lui assigner dans la hiérarchie scientifique établie au début de ce traité.",C2,"Après avoir réfléchi à la philosophie de la chimie, on peut voir comment elle se situe dans l'ensemble des sciences et comment elle est explorée. Cela nous aide à comprendre où elle se place dans la hiérarchie des sciences et comment elle est étudiée.",0.90388834,B2,"Après avoir pensé à la chimie et à sa place dans les sciences, on peut voir comment elle est liée aux autres sujets et comment elle est étudiée. Cela nous aide à comprendre où elle se situe par rapport aux autres sciences.",0.87741596,B1,"Après avoir pensé à la chimie, on peut voir qu'elle est liée aux autres sujets et comment elle est étudiée. Cela nous aide à comprendre où elle se situe par rapport aux autres sciences.",0.88284147,B1,"Après avoir pensé à la chimie, on peut voir qu'elle est liée aux autres sujets. Ça nous aide à comprendre où elle se situe par rapport aux autres sciences.",0.87055355,B1,"Après avoir pensé à la chimie, on peut voir qu'elle est liée aux autres sujets. Ça nous aide à comprendre où elle se situe.",0.87121695,B1,"Après avoir pensé à la chimie, on peut voir qu'elle est liée aux autres sujets. Ça nous aide à comprendre où elle se situe.",0.8712171,B1,"Après avoir pensé à la chimie, on peut voir qu'elle est liée aux autres sujets. Ça nous aide à comprendre où elle se situe.",0.871217,B1,"Après avoir pensé à la chimie, on peut voir qu'elle est liée aux autres sujets. Ça nous aide à comprendre où elle se situe.",0.871217,B1
"Ainsi, le nom systématique de chaque corps, en faisant directement connaître sa composition, peut aisément indiquer, d'abord, un juste aperçu général, et ensuite, un résumé fidèle quoique concis, de l'ensemble de son histoire chimique; et, par la nature même de la science, plus elle fera de progrès vers sa destination fondamentale, plus cette double propriété de sa nomenclature devra inévitablement se développer.",C2,"Par conséquent, le nom scientifique de chaque élément chimique nous dit de quoi il est composé et permet de comprendre d'un coup d'œil son histoire chimique. De plus, plus la science avance, plus cette propriété de son nom sera précise et détaillée.",0.9230347,C1,"Donc, le nom scientifique d'un élément chimique nous dit ce qu'il est composé de et nous dit son histoire chimique. De plus, plus la science avance, plus cette propriété de son nom sera précise et détaillée.",0.927395,B2,"Donc, le nom scientifique d'un élément chimique nous dit ce qu'il est composé de et où il vient. De plus, quand la science avance, son nom devient plus précis.",0.90761125,B1,"Donc, le nom scientifique d'un élément chimique nous dit ce qu'il est composé de. Quand la science avance, son nom devient plus précis.",0.8887313,B2,"Donc, le nom scientifique d'un élément chimique nous dit ce qu'il est composé de. Quand la science avance, son nom devient plus précis.",0.88873124,B2,"Donc, le nom scientifique d'un élément chimique nous dit ce qu'il est composé de. Quand la science avance, son nom devient plus précis.",0.8887313,B2,"Donc, le nom scientifique d'un élément chimique nous dit ce qu'il est composé de. Quand la science avance, son nom devient plus précis.",0.88873124,B2,"Donc, le nom scientifique d'un élément chimique nous dit ce qu'il est composé de. Quand la science avance, son nom devient plus précis.",0.88873124,B2
"On ne saurait douter, néanmoins, que l'expérimentation n'ait puissamment contribué jusqu'ici au perfectionnement de la science chimique, abstraction faite des nouveaux sujets d'observation qu'elle a fait naître.",C2,"Il est clair que les expériences ont joué un rôle important dans l'amélioration de la chimie, en dehors des nouvelles choses qu'elles ont créées.",0.8759799,B1,"On peut voir que les expériences ont aidé beaucoup à améliorer la chimie, en plus de créer de nouvelles choses.",0.74320495,B1,Les expériences ont beaucoup aidé à faire mieux la chimie et à créer de nouvelles choses.,0.67020166,B1,Les expériences nous aident à mieux faire la chimie et à créer de nouveaux jouets.,0.66302323,B2,Les expériences nous aident à jouer avec des choses nouvelles.,0.6885639,B1,Les expériences nous enseignent à jouer avec de nouveaux jouets.,0.6699107,B2,Les jouets nous apprennent à jouer de nouvelles parties.,0.6247113,B1,Les jouets nous enseignent à jouer différemment.,0.66151285,B2
L'activité dépendante présuppose un rapport de subordination de l'employé qui se soumet aux instructions de l'employeur.,C2,"Si on travaille pour quelqu'un, on doit suivre les ordres de son patron.",0.90546525,B1,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.8682898,A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.8682898,A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.8682898,A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.8682898,A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.8682898,A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.8682898,A2,"Si on travaille pour quelqu'un, on doit faire ce qu'il dit.",0.8682898,A2
"Si l es organes et les tissus des corps vivans, ne différaient entre eux que sous un seul point de vue principal, si les maladies étaient suffisamment définies par leur siége, si les genres ou au moins les familles zoologiques pouvaient être constamment établie s d'après une considération exactement homogène, on conçoit que les sciences correspondantes comporteraient aussitôt des nomenclatures systématiques aussi rationnelles et aussi efficaces que celle de la chimie.",C2,"Si les organes et les tissus des corps vivants étaient tous aussi différents que possible, et si les maladies étaient facilement identifiables par leur emplacement, et si les animaux pouvaient être classés de manière aussi précise que possible, les sciences qui étudient ces choses pourraient avoir des systèmes de nomenclature aussi logiques et aussi utiles que ceux de la chimie.",0.9474211,C2,"Si les organes et les tissus des corps vivants étaient tous aussi différents que possible, et si les maladies étaient facilement identifiables par leur emplacement, et si les animaux pouvaient être classés de manière aussi précise que possible, les sciences qui étudient ces choses pourraient avoir des systèmes de nomenclature aussi logiques et aussi utiles que ceux de la chimie.",0.9474211,C2,"Si les parties du corps vivant étaient toutes très différentes et si les maladies se situaient toujours dans le même endroit, et si les animaux pouvaient être classés très précisément, les sciences qui étudient ces choses pourraient avoir des noms très logiques et très utiles comme en chimie.",0.94185114,C1,"Si les parties du corps vivant sont très différentes et si les maladies se trouvent toujours dans le même endroit, et si les animaux peuvent être classés très bien, les sciences qui étudient ces choses pourraient avoir des noms très logiques et très utiles comme en chimie.",0.93489397,C1,"Si les corps vivants ont des parties différentes et si les maladies se trouvent toujours dans le même endroit, et si les animaux peuvent être classés bien, les sciences qui étudient ces choses pourraient avoir des noms très utiles comme en chimie.",0.9303556,C1,"Si les animaux ont des parties différentes et si les maladies se trouvent toujours dans le même endroit, et si les animaux peuvent être classés bien, les sciences qui étudient ces choses pourraient avoir des noms très utiles comme en chimie.",0.9256774,C1,"Si les animaux ont des parties différentes et si les maladies se trouvent toujours dans le même endroit, et si les animaux peuvent être classés bien, les sciences qui étudient ces choses pourraient avoir des noms très utiles comme en chimie.",0.92567736,C1,"Si les animaux ont des parties différentes et si les maladies se trouvent toujours dans le même endroit, et si les animaux peuvent être classés bien, les sciences qui étudient ces choses pourraient avoir des noms très utiles comme en chimie.",0.92567736,C1
"Cet habile chimiste fait suivre immédiatement l'étude de chaque élément de celle de toutes les combinaisons, soit binaires, soit ternaires, etc., qu'il peut former avec ceux jusque alors examinés, en se bornant, toutefois, aux composés du premier ordre.",C2,"Ce chimiste très doué suit de près l'étude de chaque élément, même si c'est avec deux, trois ou plus d'autres éléments qu'il les mélange, mais il ne va pas plus loin que les composés de base.",0.9373262,B2,"Ce chimiste très talentueux étudie chaque élément en détail, même si il les mélange avec deux, trois ou plus d'autres éléments, mais il ne va pas plus loin que les composés de base.",0.93222165,B2,"Ce scientifique très doué examine chaque élément très attentivement, même si il les mélange avec d'autres éléments, mais il ne va pas plus loin que les composés de base.",0.9317535,B2,"Ce scientifique très bon fait beaucoup de tests avec des choses, même si elles sont mélangées, mais il ne fait pas plus de choses avec elles.",0.888813,B1,"Ce scientifique fait beaucoup d'essais avec des choses, même si elles sont mélangées, mais il ne fait pas plus de choses avec elles.",0.9085226,B1,"Ce scientifique teste beaucoup de choses, même si elles sont confuses, mais il ne fait pas plus de choses avec elles.",0.8951835,B1,"Ce scientifique essaie beaucoup de choses, même si elles ne sont pas claires, mais il ne fait pas plus de choses avec elles.",0.8826896,B1,"Ce scientifique essaie beaucoup de choses, mais il ne sait pas trop ce qu'il fait.",0.8287405,B1
Considérations générales sur la chimie proprement dite ou inorganique.,C2,Idées sur la chimie vraie ou sans vie.,0.74604607,B2,"Chimie vraie ou pas, idées intéressantes.",0.75814646,B2,"Vrai ou pas, des idées cool.",0.6426277,A2,"Ça fait vrai ou pas, des idées cool.",0.6721765,A2,"Ça dit vrai ou pas, des idées cool.",0.68636394,A2,"Ça dit vrai ou pas, des idées cool.",0.68636394,A2,"Ça dit vrai ou pas, des idées cool.",0.6863639,A2,"Ça dit vrai ou pas, des idées cool.",0.68636394,A2
"Aucun lecteur judicieux ne peut espérer que la philosophie chimiq ue, surtout dans son état actuel, soit ici l'objet d'un examen aussi développé, ni même aussi satisfaisant, qu'a pu l'être celui de la philosophie astronomique, par exemple, dont l'admirable perfection m'a permis une analyse méthodique, à la fois claire et complète, quoique sommaire, comme l'exigeait ce type immuable de la philosophie naturelle.",C2,"Personne qui lit attentivement ne peut espérer que la philosophie chimique soit aussi bien expliquée qu'elle l'a été pour la philosophie astronomique, mais elle est loin d'être aussi parfaite. La philosophie naturelle est un type qui ne change pas, et je peux analyser la philosophie astronomique de manière méthodique, claire et complète, même si elle est courte.",0.9448166,B2,"Les gens qui lisent attentivement ne peuvent pas espérer que la philosophie chimique soit aussi bien expliquée que la philosophie astronomique, mais elle n'est pas aussi parfaite. La philosophie naturelle est un type qui ne change pas, et je peux analyser la philosophie astronomique de manière méthodique, claire et complète, même si elle est courte.",0.91906923,B2,"Les gens qui lisent bien comprennent que la philosophie chimique n'est pas aussi facile à comprendre que la philosophie astronomique, mais elle est toujours la même. La philosophie naturelle est un type qui ne change pas, et je peux expliquer la philosophie astronomique de manière méthodique, claire et complète, même si elle est courte.",0.91090137,B2,"Les gens qui lisent bien savent que la philosophie chimique est pas aussi facile à comprendre que la philosophie astronomique, mais elle est toujours la même. La philosophie naturelle est un type qui ne change pas, et je peux expliquer la philosophie astronomique de manière simple, claire et complète, même si elle est courte.",0.87725365,B2,"Les gens qui lisent bien savent que la philosophie chimique est difficile à comprendre, mais la philosophie astronomique est plus facile. La philosophie naturelle est toujours la même, et je peux expliquer la philosophie astronomique de manière simple et claire.",0.8731319,B2,"Les gens qui lisent bien savent que la philosophie chimique est difficile, mais la philosophie astronomique est plus facile. La philosophie naturelle est toujours la même, et je peux expliquer la philosophie astronomique de manière simple.",0.8690062,B2,"Les gens qui lisent bien savent que la philosophie chimique est difficile, mais la philosophie astronomique est plus facile. La philosophie naturelle est toujours la même, et je peux expliquer la philosophie astronomique de manière simple.",0.8690063,B2,"Les gens qui lisent bien savent que la philosophie chimique est difficile, mais la philosophie astronomique est plus facile. La philosophie naturelle est toujours la même, et je peux expliquer la philosophie astronomique de manière simple.",0.8690063,B2
"En vertu du nombre, déjà très considérable, et d'ailleurs toujours croissant, des corps que les chimistes regardent comme simples, plusieurs philosophes modernes, qui, malgré leur éminen t mérite et leurs connaissances réelles, sont dominés par une doctrine et même par une méthode essentiellement métaphysiques, ont pensé à priori que la plupart de ces substances devaient être nécessairement les divers composés d'un beaucoup plus petit nomb re d'autres.",C2,"Beaucoup de corps chimiques simples sont étudiés par les scientifiques, et leur nombre augmente toujours. Certains philosophes modernes, bien qu'ils soient très intelligents, sont influencés par une doctrine et une méthode qui viennent de la philosophie. Ils pensent que la plupart de ces substances sont composées de très peu de matières élémentaires.",0.9286326,C1,"Beaucoup de substances chimiques simples sont étudiées par les scientifiques, et leur nombre augmente. Certains philosophes modernes, très intelligents, sont influencés par une doctrine qui vient de la philosophie ancienne. Ils pensent que ces substances sont composées de très peu de matières élémentaires.",0.9306244,C1,"Beaucoup de substances chimiques simples sont étudiées par les scientifiques, et il y en a de plus en plus. Certains philosophes modernes, très intelligents, sont influencés par une idée ancienne. Ils pensent que ces substances sont composées de très peu de choses de base.",0.9176363,B2,"Les scientifiques étudient beaucoup de substances chimiques simples. Plus elles en trouvent, plus elles en étudient. Certains philosophes modernes, très intelligents, sont influencés par une idée ancienne. Ils pensent que ces substances sont composées de très peu de choses de base.",0.89940435,B2,"Les scientifiques apprennent beaucoup sur les petits éléments chimiques. Ils en trouvent plus et plus. Certains penseurs modernes, très intelligents, pensent que ces éléments sont faits de très peu de choses de base.",0.89925224,B2,Les scientifiques apprennent beaucoup sur les petits éléments chimiques. Ils en trouvent de plus en plus. Certains penseurs disent qu'ils sont faits de très peu de choses de base.,0.88493496,B2,Les scientifiques apprennent beaucoup sur les petits éléments chimiques. Ils en trouvent de plus en plus. Certains disent qu'ils sont faits de très peu de choses de base.,0.87773126,B1,Les scientifiques apprennent beaucoup sur les petits éléments chimiques. Ils en trouvent de plus en plus. Certains disent qu'ils sont faits de très peu de choses de base.,0.87773126,B1
