,accuracy@1,accuracy@3,accuracy@5
Science,0.45454545454545453,0.9393939393939394,1.0
Politics,0.5,0.75,0.8125
Business,0.625,0.90625,0.9375
Health,0.6363636363636364,0.8787878787878788,0.8787878787878788
Culture,0.7575757575757576,0.9696969696969697,1.0
World,0.8125,0.96875,0.96875
Travel,0.8125,0.96875,1.0
Sport,0.8181818181818182,0.8484848484848485,0.9393939393939394
Technology,0.8787878787878788,0.9393939393939394,0.9393939393939394
Music,0.9393939393939394,1.0,1.0
Food,0.9393939393939394,1.0,1.0
Average,0.7437325905292479,0.924791086350975,0.9526462395543176
