,accuracy@1,accuracy@3,accuracy@5
World,0.21875,0.9375,1.0
Science,0.3333333333333333,0.7272727272727273,0.8484848484848485
Technology,0.42424242424242425,0.9393939393939394,0.9696969696969697
Business,0.46875,0.90625,1.0
Travel,0.53125,0.84375,0.96875
Culture,0.5454545454545454,0.8787878787878788,0.9696969696969697
Sport,0.696969696969697,0.9696969696969697,0.9696969696969697
Food,0.696969696969697,0.9090909090909091,0.9393939393939394
Music,0.7575757575757576,0.9393939393939394,1.0
Health,0.7878787878787878,0.9090909090909091,0.9393939393939394
Politics,0.90625,0.96875,0.96875
Average,0.5793871866295265,0.9025069637883009,0.9610027855153204
