,accuracy@1,accuracy@3,accuracy@5
Travel,0.15625,0.78125,0.96875
Culture,0.21212121212121213,0.6666666666666666,0.7575757575757576
World,0.4375,0.84375,0.875
Science,0.5454545454545454,0.8181818181818182,0.9090909090909091
Health,0.5454545454545454,0.696969696969697,0.8484848484848485
Business,0.5625,0.90625,0.9375
Politics,0.65625,0.78125,0.78125
Food,0.6666666666666666,0.8787878787878788,0.9090909090909091
Music,0.7575757575757576,0.8787878787878788,0.9393939393939394
Sport,0.7878787878787878,0.8787878787878788,0.9090909090909091
Technology,0.7878787878787878,0.8484848484848485,0.9090909090909091
Average,0.5571030640668524,0.8161559888579387,0.8857938718662952
