,accuracy@1,accuracy@3,accuracy@5
World,0.125,0.65625,0.84375
Science,0.24242424242424243,0.48484848484848486,0.6363636363636364
Sport,0.30303030303030304,0.7878787878787878,0.9393939393939394
Culture,0.30303030303030304,0.7272727272727273,0.8181818181818182
Health,0.3939393939393939,0.7575757575757576,0.8787878787878788
Business,0.4375,0.84375,0.96875
Travel,0.4375,0.875,0.9375
Technology,0.45454545454545453,0.6666666666666666,0.7878787878787878
Food,0.5757575757575758,0.9090909090909091,0.9393939393939394
Music,0.8181818181818182,0.9696969696969697,0.9696969696969697
Politics,0.875,0.9375,0.9375
Average,0.45125348189415043,0.7827298050139275,0.8774373259052924
